day,date,Synthetic_Short_Interest_Pct,News_Sentiment_Index,Retail_Hype_Index,Price_Action_Volatility
0,2022-01-01,14.85,0.0992,0.0466,0.0705
1,2022-01-02,14.12,0.0631,0.031,0.0732
2,2022-01-03,14.3,0.0407,0.0997,0.1049
3,2022-01-04,15.33,0.0872,0.0776,0.074
4,2022-01-05,15.01,0.057,0.0431,0.0843
5,2022-01-06,15.43,0.0288,0.0757,0.1215
6,2022-01-07,14.93,0.0902,0.0889,0.0802
7,2022-01-08,14.76,0.0627,0.0314,0.0465
8,2022-01-09,15.75,0.0415,0.0536,0.1178
9,2022-01-10,14.85,0.0462,0.0422,0.1322
10,2022-01-11,14.56,0.0295,0.0312,0.0689
11,2022-01-12,15.36,0.0998,0.0484,0.1224
12,2022-01-13,15.98,0.0484,0.0655,0.0767
13,2022-01-14,15.76,0.0641,0.055,0.0741
14,2022-01-15,15.05,0.0425,0.0868,0.147
15,2022-01-16,15.55,0.0744,0.05,0.0929
16,2022-01-17,14.96,0.0026,0.0817,0.0707
17,2022-01-18,16.36,0.0261,0.0494,0.127
18,2022-01-19,15.98,0.0168,0.0817,0.1249
19,2022-01-20,14.94,0.0407,0.0714,0.0633
20,2022-01-21,16.18,0.0364,0.0046,0.0907
21,2022-01-22,16.3,0.0874,0.0535,0.0776
22,2022-01-23,15.85,0.0795,0.0057,0.1064
23,2022-01-24,16.15,0.0471,0.0746,0.1247
24,2022-01-25,15.27,0.0494,0.0575,0.0615
25,2022-01-26,16.65,0.0734,0.0625,0.1113
26,2022-01-27,15.75,0.0236,0.0971,0.1113
27,2022-01-28,16.67,0.0989,0.079,0.0877
28,2022-01-29,16.7,0.0026,0.0498,0.0727
29,2022-01-30,15.42,0.0429,0.038,0.1171
30,2022-01-31,16.84,0.0279,0.0744,0.0988
31,2022-02-01,16.78,0.0501,0.0002,0.0378
32,2022-02-02,17.09,0.0953,0.0616,0.0874
33,2022-02-03,17.16,0.082,0.0952,0.1038
34,2022-02-04,17.39,0.0509,0.0159,0.1137
35,2022-02-05,16.6,0.0509,0.0675,0.0747
36,2022-02-06,15.85,0.088,0.0179,0.1284
37,2022-02-07,15.91,0.0231,0.067,0.0563
38,2022-02-08,16.07,0.0386,0.0735,0.0777
39,2022-02-09,16.84,0.0239,0.0817,0.0691
40,2022-02-10,16.52,0.0623,0.0713,0.0811
41,2022-02-11,17.38,0.0921,0.0866,0.1537
42,2022-02-12,16.2,0.0475,0.0797,0.0559
43,2022-02-13,16.96,0.0813,0.0907,0.1162
44,2022-02-14,16.91,0.0685,0.0456,0.0827
45,2022-02-15,17.17,0.0308,0.0033,0.0667
46,2022-02-16,16.18,0.0608,0.018,0.0629
47,2022-02-17,16.92,0.0774,0.0563,0.1275
48,2022-02-18,16.53,0.0794,0.0872,0.0925
49,2022-02-19,17.87,0.0397,0.0632,0.1206
50,2022-02-20,17.37,0.0524,0.0644,0.1004
51,2022-02-21,16.13,0.0259,0.0193,0.0843
52,2022-02-22,17.07,0.0048,0.071,0.0377
53,2022-02-23,16.27,0.0275,0.0822,0.1265
54,2022-02-24,17.31,0.0344,0.0728,0.0578
55,2022-02-25,17.84,0.0425,0.065,0.0927
56,2022-02-26,16.8,0.0183,0.0733,0.1343
57,2022-02-27,18.28,0.0553,0.0422,0.0499
58,2022-02-28,17.71,0.0944,0.0886,0.159
59,2022-03-01,17.87,0.0312,0.0756,0.0541
60,2022-03-02,16.88,0.0135,0.0478,0.0251
61,2022-03-03,16.71,0.0752,0.0687,0.0871
62,2022-03-04,16.67,0.0871,0.041,0.0939
63,2022-03-05,18.56,0.0654,0.011,0.0651
64,2022-03-06,17.82,0.01,0.03,0.0634
65,2022-03-07,17.29,0.073,0.0929,0.0863
66,2022-03-08,17.89,0.0914,0.0213,0.102
