day,date,Synthetic_Short_Interest_Pct,News_Sentiment_Index,Retail_Hype_Index,Price_Action_Volatility
0,2022-01-01,14.73,0.0916,0.0321,0.1447
1,2022-01-02,14.12,0.067,0.0792,0.1057
2,2022-01-03,14.88,0.0273,0.0656,0.0393
3,2022-01-04,15.54,0.0261,0.0586,0.1257
4,2022-01-05,14.27,0.0443,0.0402,0.0793
5,2022-01-06,14.62,0.0702,0.0081,0.0325
6,2022-01-07,14.61,0.0764,0.0462,0.0863
7,2022-01-08,15.6,0.0614,0.014,0.0564
8,2022-01-09,15.88,0.0016,0.0072,0.0352
9,2022-01-10,14.51,0.0763,0.0418,0.1366
10,2022-01-11,15.93,0.0221,0.0699,0.0675
11,2022-01-12,15.02,0.09,0.0549,0.1089
12,2022-01-13,14.73,0.0721,0.0267,0.0504
13,2022-01-14,14.99,0.0624,0.0539,0.055
14,2022-01-15,15.17,0.0744,0.065,0.1342
15,2022-01-16,15.35,0.0095,0.0388,0.0322
16,2022-01-17,15.97,0.0393,0.0114,0.022
17,2022-01-18,16.38,0.0682,0.0238,0.1181
18,2022-01-19,16.19,0.0695,0.0171,0.1007
19,2022-01-20,15.78,0.0801,0.0473,0.0564
20,2022-01-21,15.23,0.08,0.0942,0.1493
21,2022-01-22,15.09,0.0176,0.0457,0.0949
22,2022-01-23,16.29,0.0511,0.0589,0.0747
23,2022-01-24,16.56,0.0844,0.0732,0.1249
24,2022-01-25,15.68,0.0077,0.0189,0.0551
25,2022-01-26,16.6,0.0937,0.0129,0.062
26,2022-01-27,16.05,0.0152,0.0262,0.079
27,2022-01-28,14.99,0.0053,0.0058,0.1032
28,2022-01-29,16.84,0.0682,0.0999,0.1048
29,2022-01-30,15.42,0.0474,0.0517,0.1253
30,2022-01-31,16.16,0.0417,0.0665,0.0992
31,2022-02-01,15.74,0.0995,0.0294,0.1337
32,2022-02-02,15.72,0.0921,0.004,0.1029
33,2022-02-03,16.99,0.0753,0.0468,0.1384
34,2022-02-04,15.98,0.0045,0.0722,0.0395
35,2022-02-05,15.69,0.0468,0.0753,0.0622
36,2022-02-06,15.8,0.0864,0.0397,0.1369
37,2022-02-07,16.38,0.0131,0.0521,0.0837
38,2022-02-08,16.68,0.0662,0.09,0.123
39,2022-02-09,16.1,0.0175,0.0939,0.0922
40,2022-02-10,17.27,0.0278,0.0728,0.1225
41,2022-02-11,16.69,0.0647,0.0623,0.1447
42,2022-02-12,17.3,0.0295,0.0703,0.0914
43,2022-02-13,16.77,0.0387,0.028,0.1122
44,2022-02-14,15.57,0.0159,0.0927,0.0739
45,2022-02-15,16.03,0.0423,0.0753,0.1317
46,2022-02-16,16.06,0.0928,0.0802,0.1451
47,2022-02-17,16.94,0.0136,0.0153,0.0194
48,2022-02-18,16.77,0.0421,0.0291,0.1056
49,2022-02-19,16.76,0.0428,0.0406,0.1331
50,2022-02-20,16.36,0.0659,0.0907,0.1237
51,2022-02-21,17.71,0.0185,0.0774,0.1212
52,2022-02-22,17.64,0.0504,0.0247,0.0412
53,2022-02-23,17.26,0.0619,0.0884,0.0938
54,2022-02-24,17.7,0.0948,0.0448,0.1141
55,2022-02-25,16.33,0.0425,0.0238,0.1198
56,2022-02-26,17.42,0.0735,0.0928,0.1302
57,2022-02-27,16.75,0.0823,0.0031,0.1307
58,2022-02-28,16.78,0.055,0.0671,0.0747
59,2022-03-01,16.49,0.0572,0.0727,0.1036
60,2022-03-02,17.19,0.0895,0.0694,0.0979
61,2022-03-03,17.3,0.0283,0.0672,0.0567
62,2022-03-04,18.06,0.0445,0.047,0.1224
63,2022-03-05,17.07,0.0282,0.097,0.0572
64,2022-03-06,17.89,0.0795,0.0461,0.1267
65,2022-03-07,17.54,0.0414,0.054,0.0794
66,2022-03-08,16.45,0.0909,0.0328,0.0936
67,2022-03-09,16.77,0.0672,0.0988,0.1606
68,2022-03-10,16.66,0.0825,0.0708,0.0652
69,2022-03-11,16.92,0.0903,0.0044,0.1205
70,2022-03-12,16.77,0.0326,0.0711,0.1329
71,2022-03-13,16.72,0.0322,0.0004,0.0996
72,2022-03-14,17.69,0.0528,0.0667,0.0942
73,2022-03-15,17.76,0.0241,0.037,0.1083
74,2022-03-16,18.08,0.0337,0.0594,0.0662
75,2022-03-17,16.71,0.0426,0.0649,0.0456
76,2022-03-18,16.96,0.0798,0.0149,0.0708
77,2022-03-19,17.45,0.004,0.0316,0.0645
78,2022-03-20,17.75,0.0689,0.0445,0.0977
79,2022-03-21,18.47,0.0255,0.0906,0.1072
80,2022-03-22,18.23,0.0608,0.0715,0.1029
81,2022-03-23,18.12,0.0367,0.0141,0.0431
82,2022-03-24,18.64,0.0697,0.0498,0.1177
83,2022-03-25,17.85,0.0655,0.0253,0.1055
84,2022-03-26,18.28,0.0636,0.0839,0.1226
85,2022-03-27,18.58,0.0683,0.029,0.0392
